3597.7	4838080	TX	ROUND ROCK ISD
3590.0	0614880	CA	GARDEN GROVE UNIFIED
3587.7	4022770	OK	OKLAHOMA CITY
3556.3	2721240	MN	MINNEAPOLIS PUBLIC SCHOOL DIST.
3553.2	2200840	LA	JEFFERSON PARISH
3514.3	2200540	LA	EAST BATON ROUGE PARISH
3513.2	4703810	TN	SHELBY COUNTY SCHOOL DISTRICT
3491.3	0806900	CO	ADAMS 12 FIVE STAR SCHOOLS
3473.8	0401870	AZ	CHANDLER UNIFIED DISTRICT
3429.0	4501440	SC	CHARLESTON 01
3426.5	3411340	NJ	NEWARK
3425.2	0403400	AZ	GILBERT UNIFIED DISTRICT
3419.0	4030240	OK	TULSA
3417.2	4820010	TX	FRISCO ISD
3408.8	4701590	TN	HAMILTON COUNTY SCHOOL DISTRCT
3400.0	1100030	DC	DISTRICT OF COLUMBIA PUBLIC SCHOOLS
3390.0	1200330	FL	COLLIER
3378.5	4825740	TX	KLEIN ISD
3366.0	0634620	CA	SAN JUAN UNIFIED
3314.0	1201770	FL	ST. LUCIE
3310.7	1201050	FL	LAKE
3304.8	0603630	CA	BAKERSFIELD CITY
3297.3	2200300	LA	CADDO PARISH
3294.2	1201260	FL	MARION
3265.5	3704620	NC	UNION COUNTY PUBLIC SCHOOLS
3243.2	1200510	FL	ESCAMBIA
3227.5	4825660	TX	KILLEEN ISD
3219.0	0638010	CA	STOCKTON UNIFIED
3211.0	0407750	AZ	DEER VALLEY UNIFIED DISTRICT
3207.5	4846680	TX	YSLETA ISD
3198.3	3904375	OH	CINCINNATI CITY
3160.3	1301110	GA	CHEROKEE COUNTY
3151.2	4843650	TX	UNITED ISD
3142.8	1201680	FL	SARASOTA
3137.5	1602100	ID	MERIDIAN JOINT DISTRICT
3120.3	4110820	OR	SALEM-KEIZER SD 24J
3105.2	4815270	TX	CORPUS CHRISTI ISD
3082.3	1713710	IL	SD U-46
3080.3	2101860	KY	FAYETTE COUNTY
3072.0	4840710	TX	SOCORRO ISD
3066.7	4101920	OR	BEAVERTON SD 48J
3058.0	0633150	CA	RIVERSIDE UNIFIED
3045.3	0613920	CA	FONTANA UNIFIED
3042.2	1302220	GA	FORSYTH COUNTY
2988.3	1302820	GA	HENRY COUNTY
2972.5	4502490	SC	HORRY 01
2921.0	2400330	MD	FREDERICK COUNTY PUBLIC SCHOOLS
2915.3	3701260	NC	DURHAM PUBLIC SCHOOLS
2911.7	4837020	TX	RICHARDSON ISD
2904.2	3605850	NY	BUFFALO CITY SCHOOL DISTRICT
2902.7	0609030	CA	CLOVIS UNIFIED
2898.5	4830390	TX	MESQUITE ISD
2895.2	1301020	GA	CHATHAM COUNTY
2847.2	2703180	MN	ANOKA-HENNEPIN PUBLIC SCHOOL DIST.
2832.7	4814280	TX	CLEAR CREEK ISD
2826.7	3172840	NE	LINCOLN PUBLIC SCHOOLS
2821.7	2929280	MO	ST. LOUIS CITY
2806.5	5100810	VA	CHESAPEAKE CITY PBLC SCHS
